"","combined_FIPS","pct_council_dem_change"
"1",12001,-0.2
"2",12011,-0.111111111
"3",12015,0
"4",12017,0
"5",12021,0
"6",12086,-0.23076923
"7",12033,0
"8",1003,-0.142857143
"9",12057,-0.285714285
"10",12069,0
"11",12071,0
"12",12081,0
"13",12083,-0.2
"14",12095,-0.333333333
"15",12099,0.285714285
"16",12101,-0.6
"17",12103,0.228571429
"18",12105,-0.4
"19",12109,0
"20",12111,0
"21",12115,0
"22",12117,0
"23",1073,0
"24",1089,-0.285714285
"25",1097,-0.333333334
"26",1101,0.2
"27",1103,-1
"28",1117,-0.111111111
"29",13051,0
"30",13057,0
"31",13063,0
"32",13067,0.2
"33",13089,0
"34",13113,0
"35",13117,0
"36",13121,0.142857143
"37",13135,0
"38",13151,0.166666667
"39",15001,-0.666666667
"40",15007,-0.285714285
"41",15009,0.111111111
"42",16001,-0.333333333
"43",16003,NA
"44",16005,NA
"45",16007,NA
"46",16009,NA
"47",16011,NA
"48",16013,NA
"49",16015,NA
"50",16017,NA
"51",16019,0
"52",16021,NA
"53",16023,NA
"54",16025,NA
"55",16027,0
"56",16029,NA
"57",16031,NA
"58",16033,NA
"59",16035,NA
"60",16037,NA
"61",16039,NA
"62",16041,NA
"63",16043,NA
"64",16045,NA
"65",16047,NA
"66",16049,NA
"67",16051,NA
"68",16053,NA
"69",16055,0
"70",16057,NA
"71",16059,NA
"72",16061,NA
"73",16063,NA
"74",16065,NA
"75",16067,NA
"76",16069,NA
"77",16071,NA
"78",16073,NA
"79",16075,NA
"80",16077,NA
"81",16079,NA
"82",16081,NA
"83",16083,NA
"84",16085,NA
"85",16087,NA
"86",17019,0.212121212
"87",17031,0.058823529
"88",17043,0.166666667
"89",17097,0.120082816
"90",17113,0
"91",17115,-0.095238095
"92",17143,-0.111111111
"93",17161,-0.12
"94",17163,0.0689655179999999
"95",17167,-0.068965517
"96",17197,0.185185185
"97",17201,0.064285714
"98",18003,0
"99",18019,-0.714285714
"100",18039,0
"101",18057,0
"102",18105,0.142857143
"103",18141,0.111111111
"104",18157,0
"105",18163,0
"106",19103,0
"107",19113,-0.066666667
"108",19133,-0.333333333
"109",19153,-0.4
"110",20045,0.333333334
"111",20091,0
"112",20173,0.2
"113",23005,0.133333333
"114",23011,0
"115",23019,0.333333333
"116",24001,-0.333333333
"117",24003,-0.285714285
"118",24005,0
"119",24009,0
"120",24011,-0.333333333
"121",24013,0.4
"122",24015,-0.666666667
"123",24017,0.4
"124",24019,-0.2
"125",24021,-0.2
"126",24023,0
"127",24025,0.142857143
"128",24027,0.2
"129",24029,0
"130",24031,0.222222222
"131",24033,0.111111111
"132",24035,0.133333333
"133",24037,-0.2
"134",24039,0.2
"135",24041,-0.2
"136",24043,-0.2
"137",24045,0
"138",24047,0.028571429
"139",25001,-0.333333334
"140",25003,NA
"141",25005,0
"142",25009,NA
"143",25021,0
"144",25023,0
"145",26025,0
"146",26045,0.333333333
"147",26049,0
"148",26065,0.072115385
"149",26093,0
"150",26099,0.129230769
"151",26125,0.16
"152",26139,0
"153",26145,-0.133333334
"154",26161,0.2
"155",26163,0
"156",27055,0
"157",29019,0
"158",29047,-0.333333334
"159",29077,0
"160",29095,-0.111111111
"161",29099,-0.857142857
"162",29183,0
"163",29189,0.142857143
"164",30111,0
"165",31055,0.285714285
"166",31109,-0.2
"167",31153,0
"168",32003,0.285714286
"169",32031,-0.2
"170",33011,-0.333333333
"171",4001,NA
"172",4003,0
"173",4005,0
"174",4007,NA
"175",4009,NA
"176",4011,NA
"177",4013,0
"178",4015,0
"179",4017,NA
"180",4019,0
"181",4021,-0.666666667
"182",4023,NA
"183",4025,0
"184",4027,0
"185",4012,NA
"186",34001,0.111111111
"187",34003,0.428571428
"188",34005,0.4
"189",34007,0
"190",34009,0
"191",34011,0.142857143
"192",34013,0.222222222
"193",34015,-0.285714286
"194",34017,0
"195",34021,0
"196",34023,0
"197",34025,0
"198",34027,0
"199",34029,0
"200",34031,0.428571429
"201",34035,0
"202",34039,0
"203",34041,-0.666666667
"204",35001,0
"205",35043,-0.4
"206",36001,0.051282052
"207",36007,0.105263158
"208",36029,-0.133689839
"209",36045,-0.133333334
"210",36055,-0.034482759
"211",36059,-0.105263157
"212",36067,-0.223039215
"213",36083,0.052631579
"214",36087,0
"215",36089,0.4
"216",36093,0.271794871
"217",36103,0.111111112
"218",36119,0.058823529
"219",37001,0
"220",37019,-0.6
"221",37021,-0.428571429
"222",37025,0
"223",37035,0
"224",37037,-0.6
"225",37051,0.142857143
"226",37057,0
"227",37063,0
"228",37067,0
"229",37071,-0.142857143
"230",37081,-0.101010101
"231",37097,0
"232",37101,-0.428571429
"233",37119,-0.111111111
"234",37129,0.2
"235",37135,0
"236",37147,-0.222222222
"237",37151,0
"238",37155,-0.125
"239",37159,0
"240",37179,0
"241",37183,-0.571428571
"242",39007,-0.333333333
"243",39017,0
"244",39023,-0.666666667
"245",39025,0
"246",39029,-0.666666667
"247",39035,-0.272727273
"248",39041,0
"249",39045,0
"250",39049,1
"251",39057,0
"252",39061,0.333333333
"253",39089,-0.333333333
"254",39093,-0.333333333
"255",39095,-0.333333333
"256",39109,0
"257",39113,1
"258",39133,0
"259",39151,-0.333333333
"260",39153,0.090909091
"261",39155,NA
"262",39165,0
"263",39169,-0.333333333
"264",39173,0
"265",40027,NA
"266",40109,0
"267",40143,-0.333333334
"268",41005,-0.666666667
"269",41017,0.333333333
"270",41039,0
"271",41047,NA
"272",42003,0
"273",42007,0
"274",42011,0
"275",42017,0
"276",42019,0
"277",42027,0
"278",42029,0
"279",42041,0
"280",42043,0
"281",42045,0
"282",42049,0.285714285
"283",42051,0
"284",42069,0
"285",42071,0
"286",42075,0
"287",42077,0
"288",42079,-0.121212122
"289",42091,0.333333334
"290",42095,-0.333333334
"291",42125,0
"292",42129,-0.333333334
"293",42133,0
"294",45001,NA
"295",45003,NA
"296",45005,NA
"297",45007,NA
"298",45009,NA
"299",45011,NA
"300",45013,NA
"301",45015,NA
"302",45017,NA
"303",45019,0.333333334
"304",45021,NA
"305",45023,NA
"306",45025,NA
"307",45027,NA
"308",45029,NA
"309",45031,NA
"310",45033,NA
"311",45035,NA
"312",45037,NA
"313",45039,NA
"314",45041,NA
"315",45043,NA
"316",45045,NA
"317",45047,NA
"318",45049,NA
"319",45051,NA
"320",45053,NA
"321",45055,NA
"322",45057,NA
"323",45059,NA
"324",45061,NA
"325",45063,NA
"326",45065,NA
"327",45067,NA
"328",45069,NA
"329",45071,NA
"330",45073,NA
"331",45075,NA
"332",45077,NA
"333",45079,NA
"334",45081,NA
"335",45083,NA
"336",45085,NA
"337",45087,NA
"338",45089,NA
"339",45091,NA
"340",46099,0
"341",47065,-0.222222222
"342",47157,0.076923076
"343",48029,0.2
"344",48039,0.2
"345",48041,0
"346",48113,0.4
"347",48141,0
"348",48157,0.2
"349",48167,-0.6
"350",48201,-0.2
"351",48209,0
"352",48339,0
"353",48381,0
"354",48439,0
"355",48453,0
"356",48491,0
"357",49011,0
"358",49035,0.444444444
"359",49049,0
"360",49057,0
"361",51013,0
"362",51041,0
"363",51059,0
"364",51087,0.2
"365",51107,-0.222222223
"366",51153,0
"367",53005,0
"368",53011,-0.666666667
"369",53033,0
"370",53053,-0.142857143
"371",53057,0.666666667
"372",53061,0
"373",53063,-0.333333333
"374",53067,0.333333333
"375",53077,NA
"376",6037,0
"377",6041,NA
"378",6073,0.2
"379",6085,0.2
"380",8001,0.333333334
"381",8005,0.2
"382",8013,0
"383",8035,0
"384",8041,0
"385",8059,0.333333333
"386",8069,-0.333333333
"387",8077,-0.333333333
"388",8101,0
"389",8123,0
"390",10001,0.285714285
"391",10003,0.131868132
"392",10005,-0.4
